Provinsi,Year,Yield.Areal(ha),Productivity(kw/ha),Production.(ton)
DI YOGYAKARTA,2022,110927.20,50.64,561699.50
JAWA TIMUR,2022,1693211.00,56.26,9526516.00
BANTEN,2022,337240.70,53.04,1788583.00
BALI,2022,112320.60,60.59,680601.60
NUSA TENGGARA BARAT,2022,270092.90,53.79,1452945.00
NUSA TENGGARA TIMUR,2022,183092.00,41.29,756049.90
KALIMANTAN BARAT,2022,241478.60,30.28,731225.80
KALIMANTAN TENGAH,2022,108226.80,31.78,343918.80
KALIMANTAN SELATAN,2022,214908.90,38.13,819419.20
KALIMANTAN TIMUR,2022,64970.01,36.85,239425.30
KALIMANTAN UTARA,2022,8604.19,35.49,30533.59
SULAWESI UTARA,2022,58195.56,41.88,243730.30
SULAWESI TENGAH,2022,168993.20,44.05,744408.70
SULAWESI SELATAN,2022,1038084.00,51.64,5360169.00
SULAWESI TENGGARA,2022,118258.80,40.50,478958.00
GORONTALO,2022,46823.47,51.29,240134.50
SULAWESI BARAT,2022,69323.95,50.99,353513.30
MALUKU,2022,23987.82,38.60,92601.06
MALUKU UTARA,2022,6416.45,38.16,24486.03
PAPUA BARAT,2022,5460.59,43.89,23963.92
PAPUA,2022,49741.91,38.99,193943.50
